,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
178,anetv_Ffi7vDa3C2I,5409,There is a group of young children rollerblading together. One man,There is a group of young children rollerblading together.,One man,gold,leaps over a wall while rollerblading.,sticks their arm in the driveway.,catches his eye and turns to the stern of it on the bus.,drills holes on the ice.,0
179,anetv_Ffi7vDa3C2I,5411,One person dives straight into water as he comes rollerblading at high speed. People,One person dives straight into water as he comes rollerblading at high speed.,People,gold,dive alongside a pool back and forth.,"are rollerblading through the city, going down the stairs and even on sidewalks.","get out of the car, on one side of a hill.",take the boats up and swipe the other.,1
180,anetv_Ffi7vDa3C2I,5408,Some men are rollerblading through a busy city and on bridges. There,Some men are rollerblading through a busy city and on bridges.,There,gold,slowly for heat and waiting for snow.,is a group of young children rollerblading together.,are busy streets of jello on race machines.,is text a little behind the area.,1
181,anetv_Ffi7vDa3C2I,5410,One man leaps over a wall while rollerblading. One person,One man leaps over a wall while rollerblading.,One person,gold,pushes the other along with one another.,puts the bike on a red mat while the person falls off.,rolls onto his back while the man continues to spin in on the pommel rope.,dives straight into water as he comes rollerblading at high speed.,3
182,lsmdc3026_FRIENDS_WITH_BENEFITS-1201,2943,He hands her an iced green tea beverage and goes inside. Someone,He hands her an iced green tea beverage and goes inside.,Someone,gold,takes a man's energy vial into her pocket.,lets someone out of the bedroom.,takes a seat at someone's bedside bedside.,"takes a sip, then spits it out.",3
183,lsmdc3026_FRIENDS_WITH_BENEFITS-1201,2945,"As he checks his phone, she suddenly puts hers away. He","As he checks his phone, she suddenly puts hers away.",He,gold,"turns away, staring at his cell.","glances swiftly over the sleeping box, then walks back up toward his cabin.",tucks her shopping bag into a dish can.,"someone, back to the concert tank, gets up and rushes towards the camaro.",0
184,lsmdc3026_FRIENDS_WITH_BENEFITS-1201,2944,"Someone takes a sip, then spits it out. Rinsing her mouth with water, she","Someone takes a sip, then spits it out.","Rinsing her mouth with water, she",gold,"spits again, nearly hitting a passerby.",brushes it across her fingers and floats into the clothes.,"takes the drink, and turns to the waitress.",kisses it and puts it on the towel.,0
185,lsmdc3026_FRIENDS_WITH_BENEFITS-1201,2944,"Someone takes a sip, then spits it out. Rinsing her mouth with water, she","Someone takes a sip, then spits it out.","Rinsing her mouth with water, she",gen,"takes the drink, and turns to the waitress.",brushes it across her fingers and floats into the clothes.,pours the contents into her glass.,kisses it and puts it on the towel.,2
186,anetv_ipYVfTYZze8,14707,A camera pans around a large snowy hill as well as people sitting on a ski lift and riding around a mountain. The people,A camera pans around a large snowy hill as well as people sitting on a ski lift and riding around a mountain.,The people,gold,continue riding in tubes all around the area as well as riding along their mountain again with a person is shown driving.,continue riding along and moving back and fourth to one another and leads into a woman driving down the hill.,do flips and tricks as well as follow one another down a hill and catch each other skiing from several angles.,continue on behind the one person while more shots are shown of people sailing back around.,2
187,anetv_ipYVfTYZze8,14707,A camera pans around a large snowy hill as well as people sitting on a ski lift and riding around a mountain. The people,A camera pans around a large snowy hill as well as people sitting on a ski lift and riding around a mountain.,The people,gen,continue riding in tubes all around the area as well as riding along their mountain again with a person is shown driving.,are then seen riding on skis down the hill while others stand around and watch.,continue riding along and moving back and fourth to one another and leads into a woman driving down the hill.,continue on behind the one person while more shots are shown of people sailing back around.,1
188,lsmdc0028_The_Crying_Game-63268,5312,It is sweltering now in the greenhouse. The hood,It is sweltering now in the greenhouse.,The hood,gold,is being styled by a soldier.,is wedged against the wall.,is turned upside down.,is drenched with sweat.,3
189,lsmdc0028_The_Crying_Game-63268,5311,Someone makes her way from the door toward the greenhouse. She,Someone makes her way from the door toward the greenhouse.,She,gold,looks up at the tree in silhouette.,enters the hall and gets up.,removes a nozzle from her car and closes her purse as someone stares vacantly.,is carrying a pot of tea and two cups.,3
190,lsmdc0028_The_Crying_Game-63268,5309,Someone pushes the last crumbs of the sandwich toward someone's mouth. Someone,Someone pushes the last crumbs of the sandwich toward someone's mouth.,Someone,gold,eats the last bits.,returns his gaze as someone leads someone and scotty along the footbridge.,remains at his arm.,"takes in the sandwich and goes out, frowning.",0
191,lsmdc0028_The_Crying_Game-63268,5310,Someone eats the last bits. Someone,Someone eats the last bits.,Someone,gen,tugs at the side of the karaboudjan him through the back window and drags him to the bottom bunk.,"turns and goes to the kitchen, where he finishes and looks over at it.",is followed by the nco.,is about to be noticed by someone.,1
192,lsmdc3086_UGLY_TRUTH-6017,163,She marches over to him as the artist brushes makeup on his face. Someone,She marches over to him as the artist brushes makeup on his face.,Someone,gold,glares at her as she leaves.,"shuts the door, then steps back to the bedroom.",rubs his hand across the glass of a small security office packed with workers and nurses.,slings his backpack over his shoulder.,0
193,lsmdc3086_UGLY_TRUTH-6017,160,She lustfully eyes him up and down. He,She lustfully eyes him up and down.,He,gold,"swallows anxiously, his eyes glistening with tears.",arches a brow and points to the door.,stops and glances around at the empty derby.,hands down his phone and leaves.,1
194,lsmdc3086_UGLY_TRUTH-6017,137,Someone laughs as someone heaves his wife over his shoulder and carries her away. Someone,Someone laughs as someone heaves his wife over his shoulder and carries her away.,Someone,gen,wraps her in her arms.,is lingering on the bed under the bed.,gets in place as the taxi drives past her.,shoves him into the wrecked hoops.,0
195,lsmdc3086_UGLY_TRUTH-6017,144,He yanks the machine from the wall. Someone,He yanks the machine from the wall.,Someone,gold,follows the boy outside.,jams his rifle forward so it's your turn.,"cocks his automatic gun, then takes aim with his hands.",picks up a bunch of letters.,0
196,lsmdc3086_UGLY_TRUTH-6017,163,She marches over to him as the artist brushes makeup on his face. Someone,She marches over to him as the artist brushes makeup on his face.,Someone,gen,"shuts the door, then steps back to the bedroom.",slings his backpack over his shoulder.,puts her hands in her face.,rubs his hand across the glass of a small security office packed with workers and nurses.,2
197,lsmdc3086_UGLY_TRUTH-6017,162,Someone spots someone flirting with the makeup artist and holds up a finger. She,Someone spots someone flirting with the makeup artist and holds up a finger.,She,gold,marches over to him as the artist brushes makeup on his face.,puts the lipstick in the back of his mouth.,starts to hear someone's voice.,"tries to look him in the eye, dance with one another.",0
198,lsmdc3086_UGLY_TRUTH-6017,151,"Someone stands below, hands on her hips. She","Someone stands below, hands on her hips.",She,gen,struts past someone sending a yellow buggy over his face.,"laughs, lost for words.","enters her hand, of the other dancer behind her.",is stacking her with their knitting.,1
199,lsmdc3086_UGLY_TRUTH-6017,149,Someone jumps out the living room window. He,Someone jumps out the living room window.,He,gen,dives for her pipe.,tuxedos her free eyes.,sees the girl chasing after him.,is as grim as he can.,2
200,lsmdc3086_UGLY_TRUTH-6017,138,Someone discovers someone curled up on the floor in a closet. Someone,Someone discovers someone curled up on the floor in a closet.,Someone,gen,peers outside and watches as she walks past someone.,opens the door softly.,slams him into iron tunic.,shoots some laundry overboard.,1
201,lsmdc3086_UGLY_TRUTH-6017,138,Someone discovers someone curled up on the floor in a closet. Someone,Someone discovers someone curled up on the floor in a closet.,Someone,gold,slams him into iron tunic.,peers outside and watches as she walks past someone.,shoots some laundry overboard.,sits up and frowns.,3
202,lsmdc3086_UGLY_TRUTH-6017,141,"In a guest house, someone tosses a bag to the floor, swigs from a can of Pepsi, and listens to an answering machine. Someone","In a guest house, someone tosses a bag to the floor, swigs from a can of Pepsi, and listens to an answering machine.",Someone,gold,circles in the aisle.,returns to her magnum detail.,"closes his eyes and crosses himself, then takes off his jacket.",joins a seven - year - year - old.,2
203,lsmdc3086_UGLY_TRUTH-6017,153,She holds him close and looks down. She,She holds him close and looks down.,She,gen,checks the rearview mirror.,picks up a bottle and pours herself a sip.,finds her eyes transfixed.,crouches behind her and closes her fingers.,2
204,lsmdc3086_UGLY_TRUTH-6017,140,"Now a girl rides her bicycle past a modest suburban home. In a guest house, someone",Now a girl rides her bicycle past a modest suburban home.,"In a guest house, someone",gold,"tosses a bag to the floor, swigs from a can of pepsi, and listens to an answering machine.",sits using a large - glass can at the foot of her bed.,tosses an apple on a base and tosses candy.,rakes up a photo in two toys.,0
205,lsmdc3086_UGLY_TRUTH-6017,142,"Someone closes his eyes and crosses himself, then takes off his jacket. Someone","Someone closes his eyes and crosses himself, then takes off his jacket.",Someone,gen,smiles and turns the cigar in his mouth.,smiles and rubs his shoulder.,opens the ship's flap.,"looks down at his notes, then looks around.",1
206,lsmdc3086_UGLY_TRUTH-6017,152,She climbs the tree in a hoodie and slip. She,She climbs the tree in a hoodie and slip.,She,gold,scoops some large fire from a bucket and pockets the water.,carries the sturdy up the slide into the thick plastic bin.,ornamental to arm's length as she strides into the water again.,stretches out her hands.,3
207,lsmdc3086_UGLY_TRUTH-6017,139,"Someone closes the closet door, shutting herself in. Now a girl","Someone closes the closet door, shutting herself in.",Now a girl,gold,rides her bicycle past a modest suburban home.,is in her living room in the bathroom.,is hanging onto the canvas.,comes reading a lamp in the hallway.,0
208,lsmdc3086_UGLY_TRUTH-6017,148,She chases him down the stair. Someone,She chases him down the stair.,Someone,gen,quickly raises his gun.,leads the way down the body.,comes hurriedly to her and ties the whip around his neck.,casts eye shadow on the house.,0
209,lsmdc3086_UGLY_TRUTH-6017,164,Someone glares at her as she leaves. She,Someone glares at her as she leaves.,She,gold,gives someone a hug.,leans closer to someone.,"doodles her robe, someone turns to her mother.","makes her way along the bedroom, shutting a cell door.",1
210,lsmdc3086_UGLY_TRUTH-6017,150,He scales a tree and perches on a high branch. Someone,He scales a tree and perches on a high branch.,Someone,gold,flies out of the present.,"stands below, hands on her hips.",arrives and heaves a handful of sunlight.,switches off the lights.,1
211,lsmdc3086_UGLY_TRUTH-6017,156,"The well - built neighbor runs out, clutching a towel around his waist. Someone","The well - built neighbor runs out, clutching a towel around his waist.",Someone,gold,gets down and get out of the car.,blinks and looks back at someone.,accidentally rips off his towel.,tries to do his way through the undergrowth.,2
212,lsmdc3086_UGLY_TRUTH-6017,147,Her cat sits by a broken fish bowl. She,Her cat sits by a broken fish bowl.,She,gold,continues eating the sandwich.,steps onto a plate of egg.,chases him down the stair.,flicks the wand at the swirling cloud.,2
213,lsmdc3086_UGLY_TRUTH-6017,146,She takes out a hair clip and fluffs her shoulder - length hair with both hands. Her cat,She takes out a hair clip and fluffs her shoulder - length hair with both hands.,Her cat,gold,curls around the side of her face.,looks out through a window at a fast abandoned bedroom.,sniffs around it as she strides in.,sits by a broken fish bowl.,3
214,lsmdc3086_UGLY_TRUTH-6017,148,She chases him down the stair. Someone,She chases him down the stair.,Someone,gold,jumps out the living room window.,casts eye shadow on the house.,leads the way down the body.,comes hurriedly to her and ties the whip around his neck.,0
215,lsmdc3086_UGLY_TRUTH-6017,161,He arches a brow and points to the door. She,He arches a brow and points to the door.,She,gold,heads over and opens it with a toothy grin.,"smiles, affecting the tears.","looks out over the black maize, shines himself onto the pedestal, wearing a dark suit.",climbs up as someone.,0
216,lsmdc3086_UGLY_TRUTH-6017,149,Someone jumps out the living room window. He,Someone jumps out the living room window.,He,gold,scales a tree and perches on a high branch.,tuxedos her free eyes.,is as grim as he can.,dives for her pipe.,0
217,lsmdc3086_UGLY_TRUTH-6017,157,"Now clothed, her neighbor smiles. Someone","Now clothed, her neighbor smiles.",Someone,gen,stares very intently with parted lips.,nods broadly and heads down a narrow hallway.,notices someone eyeing them questioningly.,smiles as an animal dangles nearby.,0
218,lsmdc3086_UGLY_TRUTH-6017,164,Someone glares at her as she leaves. She,Someone glares at her as she leaves.,She,gen,returns to the house.,"doodles her robe, someone turns to her mother.",gives someone a hug.,"makes her way along the bedroom, shutting a cell door.",0
219,lsmdc3086_UGLY_TRUTH-6017,158,Someone's jaw drops into a gleeful grin. Her neighbor,Someone's jaw drops into a gleeful grin.,Her neighbor,gen,nods and joins her.,looks at them anxiously.,emerges over a file and ducks down a hill.,smiles and wraps her arms around someone's neck.,0
220,lsmdc3086_UGLY_TRUTH-6017,143,Someone fumbles with the machine. He,Someone fumbles with the machine.,He,gold,yanks the machine from the wall.,hangs it in the supports around someone's throat.,looks at someone through a venetian blind.,drinks it's from the safe and looks around himself.,0
221,lsmdc3086_UGLY_TRUTH-6017,157,"Now clothed, her neighbor smiles. Someone","Now clothed, her neighbor smiles.",Someone,gen,sets her keys on the bed.,smiles as an animal dangles nearby.,nods broadly and heads down a narrow hallway.,pokes someone's hand fondly.,2
222,lsmdc3086_UGLY_TRUTH-6017,155,She spots a well - built man through a pair of open balcony doors as he exits a shower. She,She spots a well - built man through a pair of open balcony doors as he exits a shower.,She,gold,steps out of the ramp and jumps off the boarding platform.,"claps a hand over her cat's mouth, then continues to ogle her neighbor.",sweeps his gaze around the pond then lifts his body rear.,watches her from inside.,1
223,lsmdc3086_UGLY_TRUTH-6017,154,She shifts on a branch. She,She shifts on a branch.,She,gold,spots a well - built man through a pair of open balcony doors as he exits a shower.,"stands in her path, then sits down on the grass.",tries to safely spot the vehicle in an upstairs window.,"nods, then trots up and down the sidewalk.",0
224,lsmdc3086_UGLY_TRUTH-6017,137,Someone laughs as someone heaves his wife over his shoulder and carries her away. Someone,Someone laughs as someone heaves his wife over his shoulder and carries her away.,Someone,gold,"fetches the baby from someone, who walks into the living room.",is lingering on the bed under the bed.,discovers someone curled up on the floor in a closet.,comes up with him and folds her fingertips along her back.,2
225,lsmdc3086_UGLY_TRUTH-6017,145,Someone follows the boy outside. They,Someone follows the boy outside.,They,gen,stand beside each other.,descend a flight of steps.,stand by his apartment window with his foot above his.,shoot cards to someone who shoves the cards wildly.,1
226,lsmdc3086_UGLY_TRUTH-6017,159,Her neighbor strokes someone and gives a friendly smile. She lustfully,Her neighbor strokes someone and gives a friendly smile.,She lustfully,gold,leaves someone in the center of his room.,touches someone's face.,eyes him up and down.,kisses him on the lips.,2
227,lsmdc3086_UGLY_TRUTH-6017,151,"Someone stands below, hands on her hips. She","Someone stands below, hands on her hips.",She,gold,slaps an open white silk gown.,struts past someone sending a yellow buggy over his face.,is stacking her with their knitting.,climbs the tree in a hoodie and slip.,3
228,lsmdc3086_UGLY_TRUTH-6017,142,"Someone closes his eyes and crosses himself, then takes off his jacket. Someone","Someone closes his eyes and crosses himself, then takes off his jacket.",Someone,gold,opens the ship's flap.,smiles and turns the cigar in his mouth.,tosses a bag over the shelf.,fumbles with the machine.,3
229,lsmdc3086_UGLY_TRUTH-6017,158,Someone's jaw drops into a gleeful grin. Her neighbor,Someone's jaw drops into a gleeful grin.,Her neighbor,gen,emerges over a file and ducks down a hill.,turns back to his companion and pumps his fists.,looks at them anxiously.,crosses to a desk and picks out a desk drawer.,2
230,lsmdc3086_UGLY_TRUTH-6017,153,She holds him close and looks down. She,She holds him close and looks down.,She,gen,"scrutinizes her, on moment, then slowly raises her to the edge of the window, touching her chin.",notices someone's deep eye.,crouches behind her and closes her fingers.,checks the rearview mirror.,3
231,lsmdc3086_UGLY_TRUTH-6017,145,Someone follows the boy outside. They,Someone follows the boy outside.,They,gold,stand beside each other.,stand by his apartment window with his foot above his.,shoot cards to someone who shoves the cards wildly.,enter the main house.,3
232,anetv_kZMDKbfIis0,9500,A man is kneeling down on ice. He,A man is kneeling down on ice.,He,gold,"is using a tool to sail down a machine and then, the man steps up and cleans the proper speed.",carries a large iron belt on lantern.,begins playing a game of curling.,holds up a cake scoop.,2
233,anetv_kZMDKbfIis0,9501,He begins playing a game of curling. Two people,He begins playing a game of curling.,Two people,gold,scrub the ice in front of the curling ball.,are sitting on a couch next to him.,sing with him and give reactions as he is snowboarding.,are shown again teaching in the hockey.,0
234,anetv_kZMDKbfIis0,9501,He begins playing a game of curling. Two people,He begins playing a game of curling.,Two people,gen,sing with him and give reactions as he is snowboarding.,are sitting on a couch next to him.,are shown again teaching in the hockey.,watch in a circle as they continue playing.,3
235,lsmdc1046_Australia-90403,1791,She walks out as someone hurls someone into her luggage. They,She walks out as someone hurls someone into her luggage.,They,gold,"find a safe sign, various mile behind.","join her, only trailing behind between them.",apparate on a tiled floor in the morning sun.,are hitting each other with the suitcases.,3
236,lsmdc1046_Australia-90403,1789,The barman rolls his eyes. She,The barman rolls his eyes.,She,gold,reads the display conference.,gives him a hug.,"swallows, then steps out of the office and approaches the paperwork.",heads for the door.,3
237,lsmdc1046_Australia-90403,1790,She heads for the door. She,She heads for the door.,She,gold,"turns in her direction, as reach towards the elevator.",crosses to the gate and a guest follows furtively in.,follows someone into a hallway.,walks out as someone hurls someone into her luggage.,3
238,lsmdc1046_Australia-90403,1792,"She approaches in horror through the brawlers, rubberneckers and flying undies. Someone","She approaches in horror through the brawlers, rubberneckers and flying undies.",Someone,gold,stirs and smiles against the brilliant surface in a black light.,forces a sympathetic smile as someone roars into view.,scrambles safely over the back of the wagon.,breaks a case over his opponent's head.,3
239,lsmdc1046_Australia-90403,1787,"Someone is thrown over the bar, but comes up swinging. The brawl","Someone is thrown over the bar, but comes up swinging.",The brawl,gold,ends with a result of someone's every statement.,'s in full swing as someone approaches the pub.,ends on the floor is laid empty.,takes a little leap and even the bottles completely fill the glass.,1
240,lsmdc1046_Australia-90403,1793,Someone looks appalled at the exhausted someone. He,Someone looks appalled at the exhausted someone.,He,gold,wrestles him from the bed.,"picks up something silky and holds it out, smiling apologetically.",eyes from the woman toward the doctor not fully clothed.,meets a bashful seated band across the street.,1
241,lsmdc1046_Australia-90403,1791,She walks out as someone hurls someone into her luggage. They,She walks out as someone hurls someone into her luggage.,They,gen,stare out at her.,"join her, only trailing behind between them.",apparate on a tiled floor in the morning sun.,"find a safe sign, various mile behind.",0
242,lsmdc1046_Australia-90403,1788,"The brawl's in full swing as someone approaches the pub. As someone walks in the front door, the fight",The brawl's in full swing as someone approaches the pub.,"As someone walks in the front door, the fight",gold,cheery scarves get unusual again.,spills out the back.,attaches the ivy's guns.,dries his hands.,1
243,lsmdc0051_Men_in_black-71188,13820,"People rush in from the door under the World's Fair mural, and head toward the main display screen; all around them, the mib staffers are in frenetic activity in response to the threat from above. At the main viewing screen, a green line","People rush in from the door under the World's Fair mural, and head toward the main display screen; all around them, the mib staffers are in frenetic activity in response to the threat from above.","At the main viewing screen, a green line",gold,"appears, a dense curtain hanging over a blue skirt and matching bag, with no makeup on.",flip vertically across the gym's floor.,sits washboard in weeks.,"shoots out from the arquillian ship, striking a region of planet earth.",3
244,lsmdc0051_Men_in_black-71188,13819,"He is running from cab to cab, pounding on windows, scaring the living shit out of people. People rush in from the door under the World's Fair mural, and head toward the main display screen; all around them, the mib staffers","He is running from cab to cab, pounding on windows, scaring the living shit out of people.","People rush in from the door under the World's Fair mural, and head toward the main display screen; all around them, the mib staffers",gold,"watching us; chatter is clearly against the map: the campaign, facebook his lively naval.",are in frenetic activity in response to the threat from above.,smile with rather and determined expression.,stand slightly to watch.,1
245,anetv_Fdzw3niNDYY,6903,A man is looking at a red vase. A woman,A man is looking at a red vase.,A woman,gen,runs to him along the sidewalk.,is hitting a rock when a man throws the ball.,is poking down at him.,puts a girl in a tattoo chair.,0
246,anetv_Fdzw3niNDYY,17753,"A large museum is shown with several vases and pictures hanging from the wall. As the 360 angle of the room stops, a man and a woman",A large museum is shown with several vases and pictures hanging from the wall.,"As the 360 angle of the room stops, a man and a woman",gold,appear standing together in the room.,set a white desk in paper bag.,cross the water to their feet.,walk from behind and walk past him.,0
247,anetv_Fdzw3niNDYY,17755,"Suddenly, the female takes off her blazer and is shown in some what of a lingerie outfit and mesmerizes the man while picking up a fencing utensil with her feet. After, the two begin fencing and the man ends up popping off her button and she","Suddenly, the female takes off her blazer and is shown in some what of a lingerie outfit and mesmerizes the man while picking up a fencing utensil with her feet.","After, the two begin fencing and the man ends up popping off her button and she",gold,does the same in return.,bends over the keys and continues to walk the laces together to put the video on.,pauses to start a particular ring.,peeping up again trying for headsets.,0
248,anetv_Fdzw3niNDYY,17754,"As the 360 angle of the room stops, a man and a woman appear standing together in the room. The male then","As the 360 angle of the room stops, a man and a woman appear standing together in the room.",The male then,gold,puts a brown down on it and starting with it's song and back on a rug.,"begins to run off, dropping the bar and pasting both feet on the.",walks over to the wall and then comes back to talk to the woman.,drops the mop again.,2
249,anetv_Fdzw3niNDYY,6904,A woman takes her shirt off. The two,A woman takes her shirt off.,The two,gen,begin playing a game of pong.,women look around the side.,girls laugh at each other and then raises it.,goes down the slide.,0
250,anetv_Fdzw3niNDYY,6903,A man is looking at a red vase. A woman,A man is looking at a red vase.,A woman,gen,is seated on her bed.,is hitting a rock when a man throws the ball.,puts a girl in a tattoo chair.,is poking down at him.,0
251,anetv_Fdzw3niNDYY,6903,A man is looking at a red vase. A woman,A man is looking at a red vase.,A woman,gold,takes her shirt off.,puts a girl in a tattoo chair.,is poking down at him.,is hitting a rock when a man throws the ball.,0
252,anetv_Z-C5yMAUmM4,19437,A woman is sitting down taking a drink. She,A woman is sitting down taking a drink.,She,gold,washes and begins crying.,sets the drink down and starts talking.,finally juices a lemon in large glasses.,puts ice into the bucket.,1
253,anetv_8JKK6JayDeA,12284,People are sitting behind them on benches. Several more people,People are sitting behind them on benches.,Several more people,gen,are going around and jumped together.,are roller on the track.,are going to march.,are pacing the squares.,2
254,anetv_8JKK6JayDeA,12284,People are sitting behind them on benches. Several more people,People are sitting behind them on benches.,Several more people,gold,are pacing the squares.,are going around and jumped together.,are roller on the track.,keep lifting the weights.,3
255,anetv_8JKK6JayDeA,12283,A woman bends down and lifts a heavy weight over her head. People,A woman bends down and lifts a heavy weight over her head.,People,gold,reach down and then grab another cup.,are sitting behind them on benches.,take the weight down and pick up the weight and it lifts a weight over her head.,"puts it down, then puts the vaults onto her head and lifts her head.",1
256,anetv_sCTmSj_tsDQ,7210,Men appear in a field with bulls and the words Bullfight Laos appear on screen. The men,Men appear in a field with bulls and the words Bullfight Laos appear on screen.,The men,gold,gather around the field where two bulls are.,speak to one another.,"throw his cell to the other, as the man speaks and talks to the camera.",are shown engaged in a game of tug of war.,0
257,anetv_beRmfL0Uh28,5722,A Caucasian man wearing a red helmet is sitting in a boat in the water talking to water. The rocky water is shown and then the man,A Caucasian man wearing a red helmet is sitting in a boat in the water talking to water.,The rocky water is shown and then the man,gold,comes down kayaking throughout the white waters.,is pulling a tube melt over it.,"instructs on the dish, demonstrating how to brush water the water.",speaks again before skiing in the street.,0
258,anetv_beRmfL0Uh28,5723,A flash of vacant water is shown then a group of ten people are pictured kayaking together over the rocks and water and eventually are pushed out the kayak by the large wave. The group of people,A flash of vacant water is shown then a group of ten people are pictured kayaking together over the rocks and water and eventually are pushed out the kayak by the large wave.,The group of people,gold,are seen floating under water in buckets soaked with soapy water for the boy.,take turns playing the wooden playground with many kids following behind.,ride in the dirt as the rafters ride after a rough river around the long dirt trail.,continue swimming through the water trying to find land.,3
259,lsmdc1035_The_Adjustment_Bureau-85411,17810,"Now letters rain down into two boxes, spelling out a logo. A lone figure","Now letters rain down into two boxes, spelling out a logo.",A lone figure,gold,"hangs from the hood and settles, revealing his parents as a studio night.","stands under a vaulted ceiling, silhouetted against a wrought iron and plate glass door.",is just walking over a waterfall.,sits in a residential booth.,1
260,lsmdc1035_The_Adjustment_Bureau-85411,17810,"Now letters rain down into two boxes, spelling out a logo. A lone figure","Now letters rain down into two boxes, spelling out a logo.",A lone figure,gen,is just walking over a waterfall.,"hangs from the hood and settles, revealing his parents as a studio night.",sits in a residential booth.,is in the background.,3
261,anetv_5WqnKjOz1z4,12586,He is using a large rake to rake the leaves. He then,He is using a large rake to rake the leaves.,He then,gold,takes the shovel and starts raking the leaves.,removes the rake again and rakes the leaves on the ground.,moves the camera off a reception area and passing the bushes and the bushes.,gets a bag and rakes the leaves into the bag.,3
262,anetv_5WqnKjOz1z4,12585,A man is standing in his backyard. He,A man is standing in his backyard.,He,gold,is using a garden shears to trim a bush.,is using a large rake to rake the leaves.,picks up a towel that is used to cut it.,discusses several bolts and darts.,1
263,anetv_5WqnKjOz1z4,17759,A camera pans around a yard and leads into a man raking up leaves and putting them into bags. The man,A camera pans around a yard and leads into a man raking up leaves and putting them into bags.,The man,gold,continues stuffing leads into a bag as well as raking leaves all around the yard.,continues cleaning the table while laughing and more shots of snow are shown with a fast motion up in front of that.,is then seen pushing the lawn mower while the camera pans around.,is seen continuing to mow the lawn on his lawn.,0
264,anetv_5WqnKjOz1z4,17759,A camera pans around a yard and leads into a man raking up leaves and putting them into bags. The man,A camera pans around a yard and leads into a man raking up leaves and putting them into bags.,The man,gen,is then seen pushing the lawn mower while the camera pans around.,is seen continuing to mow the lawn on his lawn.,continues raking the leaves around another bush and walks away.,continues cleaning the table while laughing and more shots of snow are shown with a fast motion up in front of that.,2
265,anetv_3hSPAtKORgk,1240,A graphic of a boy kicking a soccer ball with 3 defender is seen. The ball,A graphic of a boy kicking a soccer ball with 3 defender is seen.,The ball,gold,of a score is shown.,"is hefty, shortly afterwards the man in the shirt wins.",continues in slow motion and eventually without the training ending.,is deflected by the defenders in the graphic.,3
266,anetv_3hSPAtKORgk,1241,The ball is deflected by the defenders in the graphic. A soccer player,The ball is deflected by the defenders in the graphic.,A soccer player,gold,stands n the hall on the court.,is in the pool behind the tank guys game.,attempts punching goals by running it.,kicks a ball that is blocked by a series of defenders and a goalie on and indoor field.,3
267,anetv_9bnt6lDcF6Y,11270,"A man in a blue polo speaks to the camera. In a different setting, the man",A man in a blue polo speaks to the camera.,"In a different setting, the man",gold,is instructing a blonde woman on how to perform sit ups.,holds a firearm and arrows and agents and shoot the motion of shooting different arrows which points to black.,needs various objects appears.,is in the ice hold.,0
268,anetv_9bnt6lDcF6Y,11271,The woman does sit ups. The man,The woman does sit ups.,The man,gen,proceeds to hit the woman on the head.,gyrates her head that is displaying a new job.,moves away from the man.,smiles at the woman.,3
269,anetv_9bnt6lDcF6Y,11271,The woman does sit ups. The man,The woman does sit ups.,The man,gold,returns to speak to the camera.,proceeds to hit the woman on the head.,shakes her hair again.,moves away from the man.,0
270,anetv_QwLiAkfSa9A,794,A larger woman is seen sitting on a chair while a man wipes down her lip and puts a mark onto it. The woman lies down and the man,A larger woman is seen sitting on a chair while a man wipes down her lip and puts a mark onto it.,The woman lies down and the man,gen,in front begins shaving the loser of the shaving woman.,uses both hands to grab her and mark her leg as well as the woman riding a tattoo.,begins tattooing the woman's leg.,continues piercing herself while looking around and finally stopping to speak and still speaking to the camera.,2
271,anetv_QwLiAkfSa9A,794,A larger woman is seen sitting on a chair while a man wipes down her lip and puts a mark onto it. The woman lies down and the man,A larger woman is seen sitting on a chair while a man wipes down her lip and puts a mark onto it.,The woman lies down and the man,gold,continues piercing herself while looking around and finally stopping to speak and still speaking to the camera.,in front begins shaving the loser of the shaving woman.,uses both hands to grab her and mark her leg as well as the woman riding a tattoo.,puts a needle into her lip creating a piercing.,3
272,anetv_YfcxIgsqs5M,715,A group of cheerleaders are seen walking on stage while the audience cheers. The group then,A group of cheerleaders are seen walking on stage while the audience cheers.,The group then,gold,continues to walk around the stage while the camera captures and watches their people watch.,spin around to hop.,begins performing a cheering routine with one another.,sings and singing as people walk in and out of frame.,2
273,anetv_YfcxIgsqs5M,18007,Cheerleaders come out and perform a routine on the stage. The crowd,Cheerleaders come out and perform a routine on the stage.,The crowd,gold,cheers more up to the crowd.,spins as the crowd cheers them on.,cheers for them once they finish.,begin marching in perform their routine.,2
274,anetv_YfcxIgsqs5M,18006,A crowd is cheering in front of a stage. Cheerleaders,A crowd is cheering in front of a stage.,Cheerleaders,gold,perform slow routine on the stage.,are shown performing a big water event in front of an audience.,come out and perform a routine on the stage.,interact around two groups.,2
275,anetv_YfcxIgsqs5M,716,The group then begins performing a cheering routine with one another. The group,The group then begins performing a cheering routine with one another.,The group,gen,continues flipping and ends with text across the screen.,continues performing with one another and jumping are shown again in slow motion.,continues to play with one another while still speaking to the camera.,continue to cheer with one another and eventually come to a stop on the end.,1
