video-id,fold-ind,startphrase,gold-ending,distractor-0,distractor-1,distractor-2,distractor-3,gold-source,gold-type,distractor-0-type,distractor-1-type,distractor-2-type,distractor-3-type,sent1,sent2
lsmdc3086_UGLY_TRUTH-6017,163,She marches over to him as the artist brushes makeup on his face. Someone,puts her hands in her face.,rubs his hand across the glass of a small security office packed with workers and nurses.,slings his backpack over his shoulder.,"shuts the door, then steps back to the bedroom.",,gen-orig,pos,unl,unl,pos,n/a,She marches over to him as the artist brushes makeup on his face.,Someone
lsmdc3086_UGLY_TRUTH-6017,162,Someone spots someone flirting with the makeup artist and holds up a finger. She,marches over to him as the artist brushes makeup on his face.,"tries to look him in the eye, dance with one another.",puts the lipstick in the back of his mouth.,starts to hear someone's voice.,,gold0-orig,pos,unl,unl,pos,n/a,Someone spots someone flirting with the makeup artist and holds up a finger.,She
lsmdc3086_UGLY_TRUTH-6017,151,"Someone stands below, hands on her hips. She","laughs, lost for words.",struts past someone sending a yellow buggy over his face.,"enters her hand, of the other dancer behind her.",is stacking her with their knitting.,,gen-orig,pos,unl,unl,unl,n/a,"Someone stands below, hands on her hips.",She
lsmdc3086_UGLY_TRUTH-6017,149,Someone jumps out the living room window. He,sees the girl chasing after him.,tuxedos her free eyes.,is as grim as he can.,dives for her pipe.,is strolling in circles in the hall.,gen-orig,pos,unl,unl,unl,unl,Someone jumps out the living room window.,He
lsmdc3086_UGLY_TRUTH-6017,138,Someone discovers someone curled up on the floor in a closet. Someone,opens the door softly.,peers outside and watches as she walks past someone.,slams him into iron tunic.,shoots some laundry overboard.,is sitting in the covers next to the market.,gen-orig,pos,unl,unl,unl,unl,Someone discovers someone curled up on the floor in a closet.,Someone
lsmdc3086_UGLY_TRUTH-6017,138,Someone discovers someone curled up on the floor in a closet. Someone,sits up and frowns.,peers outside and watches as she walks past someone.,slams him into iron tunic.,shoots some laundry overboard.,is sitting in the covers next to the market.,gold1-orig,pos,unl,unl,unl,unl,Someone discovers someone curled up on the floor in a closet.,Someone
lsmdc3086_UGLY_TRUTH-6017,141,"In a guest house, someone tosses a bag to the floor, swigs from a can of Pepsi, and listens to an answering machine. Someone","closes his eyes and crosses himself, then takes off his jacket.",returns to her magnum detail.,joins a seven - year - year - old.,circles in the aisle.,,gold0-orig,pos,unl,unl,unl,n/a,"In a guest house, someone tosses a bag to the floor, swigs from a can of Pepsi, and listens to an answering machine.",Someone
lsmdc3086_UGLY_TRUTH-6017,153,She holds him close and looks down. She,finds her eyes transfixed.,crouches behind her and closes her fingers.,checks the rearview mirror.,picks up a bottle and pours herself a sip.,,gen-orig,pos,unl,pos,pos,n/a,She holds him close and looks down.,She
lsmdc3086_UGLY_TRUTH-6017,140,"Now a girl rides her bicycle past a modest suburban home. In a guest house, someone","tosses a bag to the floor, swigs from a can of pepsi, and listens to an answering machine.",rakes up a photo in two toys.,sits using a large - glass can at the foot of her bed.,tosses an apple on a base and tosses candy.,,gold0-orig,pos,unl,unl,unl,n/a,Now a girl rides her bicycle past a modest suburban home.,"In a guest house, someone"
lsmdc3086_UGLY_TRUTH-6017,142,"Someone closes his eyes and crosses himself, then takes off his jacket. Someone",smiles and rubs his shoulder.,smiles and turns the cigar in his mouth.,opens the ship's flap.,"looks down at his notes, then looks around.",,gen-orig,pos,unl,unl,pos,n/a,"Someone closes his eyes and crosses himself, then takes off his jacket.",Someone
lsmdc3086_UGLY_TRUTH-6017,152,She climbs the tree in a hoodie and slip. She,stretches out her hands.,carries the sturdy up the slide into the thick plastic bin.,scoops some large fire from a bucket and pockets the water.,ornamental to arm's length as she strides into the water again.,puts a hat onto her arm.,gold0-orig,pos,unl,unl,unl,unl,She climbs the tree in a hoodie and slip.,She
lsmdc3086_UGLY_TRUTH-6017,139,"Someone closes the closet door, shutting herself in. Now a girl",rides her bicycle past a modest suburban home.,is in her living room in the bathroom.,is hanging onto the canvas.,comes reading a lamp in the hallway.,maneuvers a taxi through its front door leading into a erected style room.,gold0-orig,pos,unl,unl,unl,unl,"Someone closes the closet door, shutting herself in.",Now a girl
lsmdc3086_UGLY_TRUTH-6017,148,She chases him down the stair. Someone,quickly raises his gun.,leads the way down the body.,comes hurriedly to her and ties the whip around his neck.,casts eye shadow on the house.,raises his head as the number is met in a charge.,gen-orig,pos,unl,unl,unl,pos,She chases him down the stair.,Someone
lsmdc3086_UGLY_TRUTH-6017,164,Someone glares at her as she leaves. She,leans closer to someone.,"doodles her robe, someone turns to her mother.",gives someone a hug.,"makes her way along the bedroom, shutting a cell door.",hangs up and hangs up.,gold1-orig,pos,unl,pos,pos,pos,Someone glares at her as she leaves.,She
lsmdc3086_UGLY_TRUTH-6017,150,He scales a tree and perches on a high branch. Someone,"stands below, hands on her hips.",switches off the lights.,flies out of the present.,arrives and heaves a handful of sunlight.,crosses to them then squats again.,gold0-orig,pos,unl,unl,unl,pos,He scales a tree and perches on a high branch.,Someone
lsmdc3086_UGLY_TRUTH-6017,156,"The well - built neighbor runs out, clutching a towel around his waist. Someone",accidentally rips off his towel.,blinks and looks back at someone.,tries to do his way through the undergrowth.,gets down and get out of the car.,gives a stoic shrug.,gold0-orig,pos,unl,unl,unl,pos,"The well - built neighbor runs out, clutching a towel around his waist.",Someone
lsmdc3086_UGLY_TRUTH-6017,147,Her cat sits by a broken fish bowl. She,chases him down the stair.,steps onto a plate of egg.,flicks the wand at the swirling cloud.,continues eating the sandwich.,,gold0-orig,pos,unl,unl,pos,n/a,Her cat sits by a broken fish bowl.,She
lsmdc3086_UGLY_TRUTH-6017,146,She takes out a hair clip and fluffs her shoulder - length hair with both hands. Her cat,sits by a broken fish bowl.,sniffs around it as she strides in.,looks out through a window at a fast abandoned bedroom.,curls around the side of her face.,eyes slowly open side to side.,gold0-orig,pos,unl,unl,unl,unl,She takes out a hair clip and fluffs her shoulder - length hair with both hands.,Her cat
lsmdc3086_UGLY_TRUTH-6017,148,She chases him down the stair. Someone,jumps out the living room window.,leads the way down the body.,comes hurriedly to her and ties the whip around his neck.,casts eye shadow on the house.,raises his head as the number is met in a charge.,gold1-orig,pos,unl,unl,unl,pos,She chases him down the stair.,Someone
lsmdc3086_UGLY_TRUTH-6017,161,He arches a brow and points to the door. She,heads over and opens it with a toothy grin.,climbs up as someone.,"smiles, affecting the tears.","looks out over the black maize, shines himself onto the pedestal, wearing a dark suit.",stoops gored and her lips tremble.,gold0-orig,pos,unl,unl,unl,unl,He arches a brow and points to the door.,She
lsmdc3086_UGLY_TRUTH-6017,149,Someone jumps out the living room window. He,scales a tree and perches on a high branch.,tuxedos her free eyes.,is as grim as he can.,dives for her pipe.,is strolling in circles in the hall.,gold1-orig,pos,unl,unl,unl,unl,Someone jumps out the living room window.,He
lsmdc3086_UGLY_TRUTH-6017,157,"Now clothed, her neighbor smiles. Someone",stares very intently with parted lips.,smiles as an animal dangles nearby.,notices someone eyeing them questioningly.,nods broadly and heads down a narrow hallway.,,gen-orig,pos,unl,unl,unl,n/a,"Now clothed, her neighbor smiles.",Someone
lsmdc3086_UGLY_TRUTH-6017,164,Someone glares at her as she leaves. She,returns to the house.,"doodles her robe, someone turns to her mother.",gives someone a hug.,"makes her way along the bedroom, shutting a cell door.",hangs up and hangs up.,gen-orig,pos,unl,pos,pos,pos,Someone glares at her as she leaves.,She
lsmdc3086_UGLY_TRUTH-6017,158,Someone's jaw drops into a gleeful grin. Her neighbor,nods and joins her.,emerges over a file and ducks down a hill.,smiles and wraps her arms around someone's neck.,looks at them anxiously.,,gen-orig,pos,unl,unl,unl,n/a,Someone's jaw drops into a gleeful grin.,Her neighbor
lsmdc3086_UGLY_TRUTH-6017,143,Someone fumbles with the machine. He,yanks the machine from the wall.,hangs it in the supports around someone's throat.,drinks it's from the safe and looks around himself.,looks at someone through a venetian blind.,,gold0-orig,pos,unl,unl,pos,n/a,Someone fumbles with the machine.,He
lsmdc3086_UGLY_TRUTH-6017,157,"Now clothed, her neighbor smiles. Someone",nods broadly and heads down a narrow hallway.,sets her keys on the bed.,smiles as an animal dangles nearby.,pokes someone's hand fondly.,,gen-reannot,pos,unl,unl,pos,n/a,"Now clothed, her neighbor smiles.",Someone
lsmdc3086_UGLY_TRUTH-6017,155,She spots a well - built man through a pair of open balcony doors as he exits a shower. She,"claps a hand over her cat's mouth, then continues to ogle her neighbor.",steps out of the ramp and jumps off the boarding platform.,sweeps his gaze around the pond then lifts his body rear.,watches her from inside.,"steps to the door next to a large - dressed figure, sipping a large cardboard bag in an auditorium.",gold0-reannot,pos,unl,unl,unl,unl,She spots a well - built man through a pair of open balcony doors as he exits a shower.,She
lsmdc3086_UGLY_TRUTH-6017,154,She shifts on a branch. She,spots a well - built man through a pair of open balcony doors as he exits a shower.,tries to safely spot the vehicle in an upstairs window.,"nods, then trots up and down the sidewalk.","stands in her path, then sits down on the grass.",,gold0-reannot,pos,unl,unl,pos,n/a,She shifts on a branch.,She
lsmdc3086_UGLY_TRUTH-6017,137,Someone laughs as someone heaves his wife over his shoulder and carries her away. Someone,discovers someone curled up on the floor in a closet.,comes up with him and folds her fingertips along her back.,"fetches the baby from someone, who walks into the living room.",is lingering on the bed under the bed.,shoves him into the wrecked hoops.,gold0-reannot,pos,unl,unl,unl,unl,Someone laughs as someone heaves his wife over his shoulder and carries her away.,Someone
lsmdc3086_UGLY_TRUTH-6017,145,Someone follows the boy outside. They,descend a flight of steps.,shoot cards to someone who shoves the cards wildly.,stand by his apartment window with his foot above his.,stand beside each other.,stare at him transfixed.,gen-reannot,pos,unl,unl,pos,pos,Someone follows the boy outside.,They
lsmdc3086_UGLY_TRUTH-6017,159,Her neighbor strokes someone and gives a friendly smile. She lustfully,eyes him up and down.,kisses him on the lips.,leaves someone in the center of his room.,touches someone's face.,,gold0-reannot,pos,unl,unl,pos,n/a,Her neighbor strokes someone and gives a friendly smile.,She lustfully
lsmdc3086_UGLY_TRUTH-6017,151,"Someone stands below, hands on her hips. She",climbs the tree in a hoodie and slip.,slaps an open white silk gown.,is stacking her with their knitting.,struts past someone sending a yellow buggy over his face.,,gold0-reannot,pos,unl,unl,unl,n/a,"Someone stands below, hands on her hips.",She
lsmdc3086_UGLY_TRUTH-6017,142,"Someone closes his eyes and crosses himself, then takes off his jacket. Someone",fumbles with the machine.,opens the ship's flap.,smiles and turns the cigar in his mouth.,tosses a bag over the shelf.,peers down to his mirror.,gold0-reannot,pos,unl,unl,unl,unl,"Someone closes his eyes and crosses himself, then takes off his jacket.",Someone
lsmdc3086_UGLY_TRUTH-6017,158,Someone's jaw drops into a gleeful grin. Her neighbor,looks at them anxiously.,crosses to a desk and picks out a desk drawer.,turns back to his companion and pumps his fists.,emerges over a file and ducks down a hill.,,gen-reannot,pos,unl,unl,unl,n/a,Someone's jaw drops into a gleeful grin.,Her neighbor
lsmdc3086_UGLY_TRUTH-6017,153,She holds him close and looks down. She,checks the rearview mirror.,notices someone's deep eye.,crouches behind her and closes her fingers.,"scrutinizes her, on moment, then slowly raises her to the edge of the window, touching her chin.",,gen-reannot,pos,unl,unl,unl,n/a,She holds him close and looks down.,She
lsmdc3086_UGLY_TRUTH-6017,145,Someone follows the boy outside. They,enter the main house.,shoot cards to someone who shoves the cards wildly.,stand by his apartment window with his foot above his.,stand beside each other.,stare at him transfixed.,gold1-reannot,pos,unl,unl,pos,pos,Someone follows the boy outside.,They
anetv_kZMDKbfIis0,9500,A man is kneeling down on ice. He,begins playing a game of curling.,carries a large iron belt on lantern.,holds up a cake scoop.,"is using a tool to sail down a machine and then, the man steps up and cleans the proper speed.",is playing the cards on a table in front of them.,gold0-orig,pos,unl,unl,unl,unl,A man is kneeling down on ice.,He
anetv_kZMDKbfIis0,9501,He begins playing a game of curling. Two people,scrub the ice in front of the curling ball.,sing with him and give reactions as he is snowboarding.,are sitting on a couch next to him.,are shown again teaching in the hockey.,are seen wrestling to the camera while the men cheering up in the audience.,gold1-orig,pos,unl,unl,unl,unl,He begins playing a game of curling.,Two people
anetv_kZMDKbfIis0,9501,He begins playing a game of curling. Two people,watch in a circle as they continue playing.,sing with him and give reactions as he is snowboarding.,are sitting on a couch next to him.,are shown again teaching in the hockey.,are seen wrestling to the camera while the men cheering up in the audience.,gen-orig,pos,unl,unl,unl,unl,He begins playing a game of curling.,Two people
lsmdc1046_Australia-90403,1791,She walks out as someone hurls someone into her luggage. They,are hitting each other with the suitcases.,apparate on a tiled floor in the morning sun.,"find a safe sign, various mile behind.","join her, only trailing behind between them.",,gold1-orig,pos,unl,unl,unl,n/a,She walks out as someone hurls someone into her luggage.,They
lsmdc1046_Australia-90403,1789,The barman rolls his eyes. She,heads for the door.,"swallows, then steps out of the office and approaches the paperwork.",gives him a hug.,reads the display conference.,takes a bite of ribs.,gold0-orig,pos,unl,unl,unl,pos,The barman rolls his eyes.,She
lsmdc1046_Australia-90403,1790,She heads for the door. She,walks out as someone hurls someone into her luggage.,"turns in her direction, as reach towards the elevator.",crosses to the gate and a guest follows furtively in.,follows someone into a hallway.,pulls on her khaki print dress.,gold0-orig,unl,pos,pos,pos,pos,She heads for the door.,She
lsmdc1046_Australia-90403,1792,"She approaches in horror through the brawlers, rubberneckers and flying undies. Someone",breaks a case over his opponent's head.,stirs and smiles against the brilliant surface in a black light.,forces a sympathetic smile as someone roars into view.,scrambles safely over the back of the wagon.,,gold0-orig,pos,unl,pos,pos,n/a,"She approaches in horror through the brawlers, rubberneckers and flying undies.",Someone
lsmdc1046_Australia-90403,1787,"Someone is thrown over the bar, but comes up swinging. The brawl",'s in full swing as someone approaches the pub.,takes a little leap and even the bottles completely fill the glass.,ends with a result of someone's every statement.,ends on the floor is laid empty.,"hits one of the blocks onto the table, causing someone to start writhing.",gold0-orig,pos,unl,unl,unl,pos,"Someone is thrown over the bar, but comes up swinging.",The brawl
lsmdc1046_Australia-90403,1793,Someone looks appalled at the exhausted someone. He,"picks up something silky and holds it out, smiling apologetically.",eyes from the woman toward the doctor not fully clothed.,wrestles him from the bed.,meets a bashful seated band across the street.,walks down the steps into his house.,gold0-orig,pos,unl,unl,unl,pos,Someone looks appalled at the exhausted someone.,He
lsmdc1046_Australia-90403,1791,She walks out as someone hurls someone into her luggage. They,stare out at her.,apparate on a tiled floor in the morning sun.,"find a safe sign, various mile behind.","join her, only trailing behind between them.",,gen-orig,pos,unl,unl,unl,n/a,She walks out as someone hurls someone into her luggage.,They
lsmdc1046_Australia-90403,1788,"The brawl's in full swing as someone approaches the pub. As someone walks in the front door, the fight",spills out the back.,dries his hands.,cheery scarves get unusual again.,attaches the ivy's guns.,,gold0-orig,pos,unl,unl,unl,n/a,The brawl's in full swing as someone approaches the pub.,"As someone walks in the front door, the fight"
lsmdc0051_Men_in_black-71188,13820,"People rush in from the door under the World's Fair mural, and head toward the main display screen; all around them, the mib staffers are in frenetic activity in response to the threat from above. At the main viewing screen, a green line","shoots out from the arquillian ship, striking a region of planet earth.","appears, a dense curtain hanging over a blue skirt and matching bag, with no makeup on.",flip vertically across the gym's floor.,sits washboard in weeks.,,gold0-orig,pos,unl,unl,unl,n/a,"People rush in from the door under the World's Fair mural, and head toward the main display screen; all around them, the mib staffers are in frenetic activity in response to the threat from above.","At the main viewing screen, a green line"
lsmdc0051_Men_in_black-71188,13819,"He is running from cab to cab, pounding on windows, scaring the living shit out of people. People rush in from the door under the World's Fair mural, and head toward the main display screen; all around them, the mib staffers",are in frenetic activity in response to the threat from above.,stand slightly to watch.,smile with rather and determined expression.,"watching us; chatter is clearly against the map: the campaign, facebook his lively naval.",get off their supplies.,gold0-orig,pos,unl,unl,unl,unl,"He is running from cab to cab, pounding on windows, scaring the living shit out of people.","People rush in from the door under the World's Fair mural, and head toward the main display screen; all around them, the mib staffers"
anetv_Fdzw3niNDYY,6903,A man is looking at a red vase. A woman,runs to him along the sidewalk.,puts a girl in a tattoo chair.,is hitting a rock when a man throws the ball.,is poking down at him.,,gen-orig,pos,unl,unl,unl,n/a,A man is looking at a red vase.,A woman
anetv_Fdzw3niNDYY,17753,"A large museum is shown with several vases and pictures hanging from the wall. As the 360 angle of the room stops, a man and a woman",appear standing together in the room.,cross the water to their feet.,set a white desk in paper bag.,walk from behind and walk past him.,appear in the middle of the room.,gold0-orig,pos,unl,unl,unl,pos,A large museum is shown with several vases and pictures hanging from the wall.,"As the 360 angle of the room stops, a man and a woman"
anetv_Fdzw3niNDYY,17755,"Suddenly, the female takes off her blazer and is shown in some what of a lingerie outfit and mesmerizes the man while picking up a fencing utensil with her feet. After, the two begin fencing and the man ends up popping off her button and she",does the same in return.,bends over the keys and continues to walk the laces together to put the video on.,peeping up again trying for headsets.,pauses to start a particular ring.,rolls off of the side.,gold0-orig,pos,unl,unl,unl,pos,"Suddenly, the female takes off her blazer and is shown in some what of a lingerie outfit and mesmerizes the man while picking up a fencing utensil with her feet.","After, the two begin fencing and the man ends up popping off her button and she"
anetv_Fdzw3niNDYY,17754,"As the 360 angle of the room stops, a man and a woman appear standing together in the room. The male then",walks over to the wall and then comes back to talk to the woman.,drops the mop again.,"begins to run off, dropping the bar and pasting both feet on the.",puts a brown down on it and starting with it's song and back on a rug.,,gold0-orig,pos,unl,unl,unl,n/a,"As the 360 angle of the room stops, a man and a woman appear standing together in the room.",The male then
anetv_Fdzw3niNDYY,6904,A woman takes her shirt off. The two,begin playing a game of pong.,goes down the slide.,women look around the side.,girls laugh at each other and then raises it.,,gen-reannot,pos,unl,unl,unl,n/a,A woman takes her shirt off.,The two
anetv_Fdzw3niNDYY,6903,A man is looking at a red vase. A woman,is seated on her bed.,is hitting a rock when a man throws the ball.,puts a girl in a tattoo chair.,is poking down at him.,is wiping wax onto his face.,gen-reannot,pos,unl,unl,unl,pos,A man is looking at a red vase.,A woman
anetv_Fdzw3niNDYY,6903,A man is looking at a red vase. A woman,takes her shirt off.,is hitting a rock when a man throws the ball.,puts a girl in a tattoo chair.,is poking down at him.,is wiping wax onto his face.,gold1-reannot,pos,unl,unl,unl,pos,A man is looking at a red vase.,A woman
anetv_Z-C5yMAUmM4,19437,A woman is sitting down taking a drink. She,sets the drink down and starts talking.,washes and begins crying.,finally juices a lemon in large glasses.,puts ice into the bucket.,pours the ice into the glass.,gold0-orig,pos,unl,pos,pos,pos,A woman is sitting down taking a drink.,She
anetv_8JKK6JayDeA,12284,People are sitting behind them on benches. Several more people,are going to march.,are going around and jumped together.,are roller on the track.,are pacing the squares.,are playing instruments in the crowded.,gen-orig,pos,unl,unl,unl,unl,People are sitting behind them on benches.,Several more people
anetv_8JKK6JayDeA,12284,People are sitting behind them on benches. Several more people,keep lifting the weights.,are going around and jumped together.,are roller on the track.,are pacing the squares.,are playing instruments in the crowded.,gold1-orig,pos,unl,unl,unl,unl,People are sitting behind them on benches.,Several more people
anetv_8JKK6JayDeA,12283,A woman bends down and lifts a heavy weight over her head. People,are sitting behind them on benches.,reach down and then grab another cup.,"puts it down, then puts the vaults onto her head and lifts her head.",take the weight down and pick up the weight and it lifts a weight over her head.,dumbbells outside exercising on.,gold0-reannot,pos,unl,unl,unl,unl,A woman bends down and lifts a heavy weight over her head.,People
anetv_sCTmSj_tsDQ,7210,Men appear in a field with bulls and the words Bullfight Laos appear on screen. The men,gather around the field where two bulls are.,"throw his cell to the other, as the man speaks and talks to the camera.",are shown engaged in a game of tug of war.,speak to one another.,,gold0-orig,pos,unl,pos,pos,n/a,Men appear in a field with bulls and the words Bullfight Laos appear on screen.,The men
anetv_beRmfL0Uh28,5722,A Caucasian man wearing a red helmet is sitting in a boat in the water talking to water. The rocky water is shown and then the man,comes down kayaking throughout the white waters.,"instructs on the dish, demonstrating how to brush water the water.",is pulling a tube melt over it.,speaks again before skiing in the street.,walks onto the rowing platform.,gold0-orig,pos,unl,unl,unl,unl,A Caucasian man wearing a red helmet is sitting in a boat in the water talking to water.,The rocky water is shown and then the man
anetv_beRmfL0Uh28,5723,A flash of vacant water is shown then a group of ten people are pictured kayaking together over the rocks and water and eventually are pushed out the kayak by the large wave. The group of people,continue swimming through the water trying to find land.,take turns playing the wooden playground with many kids following behind.,ride in the dirt as the rafters ride after a rough river around the long dirt trail.,are seen floating under water in buckets soaked with soapy water for the boy.,,gold0-orig,pos,unl,unl,unl,n/a,A flash of vacant water is shown then a group of ten people are pictured kayaking together over the rocks and water and eventually are pushed out the kayak by the large wave.,The group of people
lsmdc1035_The_Adjustment_Bureau-85411,17810,"Now letters rain down into two boxes, spelling out a logo. A lone figure","stands under a vaulted ceiling, silhouetted against a wrought iron and plate glass door.","hangs from the hood and settles, revealing his parents as a studio night.",is just walking over a waterfall.,sits in a residential booth.,stretches out as someone scans it.,gold1-orig,pos,unl,unl,pos,pos,"Now letters rain down into two boxes, spelling out a logo.",A lone figure
lsmdc1035_The_Adjustment_Bureau-85411,17810,"Now letters rain down into two boxes, spelling out a logo. A lone figure",is in the background.,"hangs from the hood and settles, revealing his parents as a studio night.",is just walking over a waterfall.,sits in a residential booth.,stretches out as someone scans it.,gen-orig,pos,unl,unl,pos,pos,"Now letters rain down into two boxes, spelling out a logo.",A lone figure
anetv_5WqnKjOz1z4,12586,He is using a large rake to rake the leaves. He then,gets a bag and rakes the leaves into the bag.,moves the camera off a reception area and passing the bushes and the bushes.,takes the shovel and starts raking the leaves.,removes the rake again and rakes the leaves on the ground.,walks around the grass using a rake and blowing his leaves in the yard.,gold0-orig,pos,unl,unl,unl,pos,He is using a large rake to rake the leaves.,He then
anetv_5WqnKjOz1z4,12585,A man is standing in his backyard. He,is using a large rake to rake the leaves.,picks up a towel that is used to cut it.,discusses several bolts and darts.,is using a garden shears to trim a bush.,,gold0-orig,pos,unl,unl,pos,n/a,A man is standing in his backyard.,He
anetv_5WqnKjOz1z4,17759,A camera pans around a yard and leads into a man raking up leaves and putting them into bags. The man,continues stuffing leads into a bag as well as raking leaves all around the yard.,continues cleaning the table while laughing and more shots of snow are shown with a fast motion up in front of that.,is seen continuing to mow the lawn on his lawn.,is then seen pushing the lawn mower while the camera pans around.,,gold1-orig,pos,unl,unl,unl,n/a,A camera pans around a yard and leads into a man raking up leaves and putting them into bags.,The man
anetv_5WqnKjOz1z4,17759,A camera pans around a yard and leads into a man raking up leaves and putting them into bags. The man,continues raking the leaves around another bush and walks away.,continues cleaning the table while laughing and more shots of snow are shown with a fast motion up in front of that.,is seen continuing to mow the lawn on his lawn.,is then seen pushing the lawn mower while the camera pans around.,,gen-orig,pos,unl,unl,unl,n/a,A camera pans around a yard and leads into a man raking up leaves and putting them into bags.,The man
anetv_3hSPAtKORgk,1240,A graphic of a boy kicking a soccer ball with 3 defender is seen. The ball,is deflected by the defenders in the graphic.,"is hefty, shortly afterwards the man in the shirt wins.",of a score is shown.,continues in slow motion and eventually without the training ending.,moves back and forth and scores of the goal blocked by the flash graphic.,gold0-orig,pos,unl,unl,unl,pos,A graphic of a boy kicking a soccer ball with 3 defender is seen.,The ball
anetv_3hSPAtKORgk,1241,The ball is deflected by the defenders in the graphic. A soccer player,kicks a ball that is blocked by a series of defenders and a goalie on and indoor field.,is in the pool behind the tank guys game.,stands n the hall on the court.,attempts punching goals by running it.,is pictured in the background.,gold0-orig,pos,unl,unl,unl,pos,The ball is deflected by the defenders in the graphic.,A soccer player
anetv_9bnt6lDcF6Y,11270,"A man in a blue polo speaks to the camera. In a different setting, the man",is instructing a blonde woman on how to perform sit ups.,is in the ice hold.,needs various objects appears.,holds a firearm and arrows and agents and shoot the motion of shooting different arrows which points to black.,"dance hip hop, while down.",gold0-orig,pos,unl,unl,unl,unl,A man in a blue polo speaks to the camera.,"In a different setting, the man"
anetv_9bnt6lDcF6Y,11271,The woman does sit ups. The man,smiles at the woman.,moves away from the man.,gyrates her head that is displaying a new job.,proceeds to hit the woman on the head.,,gen-orig,pos,unl,unl,unl,n/a,The woman does sit ups.,The man
anetv_9bnt6lDcF6Y,11271,The woman does sit ups. The man,returns to speak to the camera.,proceeds to hit the woman on the head.,moves away from the man.,shakes her hair again.,gyrates her head that is displaying a new job.,gold0-reannot,pos,unl,unl,unl,unl,The woman does sit ups.,The man
anetv_QwLiAkfSa9A,794,A larger woman is seen sitting on a chair while a man wipes down her lip and puts a mark onto it. The woman lies down and the man,begins tattooing the woman's leg.,uses both hands to grab her and mark her leg as well as the woman riding a tattoo.,continues piercing herself while looking around and finally stopping to speak and still speaking to the camera.,in front begins shaving the loser of the shaving woman.,wipes her face with the towel while still speaking and waving more before turning away.,gen-orig,pos,unl,unl,unl,unl,A larger woman is seen sitting on a chair while a man wipes down her lip and puts a mark onto it.,The woman lies down and the man
anetv_QwLiAkfSa9A,794,A larger woman is seen sitting on a chair while a man wipes down her lip and puts a mark onto it. The woman lies down and the man,puts a needle into her lip creating a piercing.,uses both hands to grab her and mark her leg as well as the woman riding a tattoo.,continues piercing herself while looking around and finally stopping to speak and still speaking to the camera.,in front begins shaving the loser of the shaving woman.,wipes her face with the towel while still speaking and waving more before turning away.,gold1-orig,unl,unl,unl,unl,unl,A larger woman is seen sitting on a chair while a man wipes down her lip and puts a mark onto it.,The woman lies down and the man
anetv_YfcxIgsqs5M,715,A group of cheerleaders are seen walking on stage while the audience cheers. The group then,begins performing a cheering routine with one another.,sings and singing as people walk in and out of frame.,continues to walk around the stage while the camera captures and watches their people watch.,spin around to hop.,moves around the room while creating a performance and continuing to dance with one another.,gold0-orig,pos,unl,unl,pos,pos,A group of cheerleaders are seen walking on stage while the audience cheers.,The group then
anetv_YfcxIgsqs5M,18007,Cheerleaders come out and perform a routine on the stage. The crowd,cheers for them once they finish.,begin marching in perform their routine.,cheers more up to the crowd.,spins as the crowd cheers them on.,,gold0-orig,pos,unl,unl,unl,n/a,Cheerleaders come out and perform a routine on the stage.,The crowd
anetv_YfcxIgsqs5M,18006,A crowd is cheering in front of a stage. Cheerleaders,come out and perform a routine on the stage.,are shown performing a big water event in front of an audience.,interact around two groups.,perform slow routine on the stage.,are working in a gym.,gold0-orig,pos,unl,unl,unl,pos,A crowd is cheering in front of a stage.,Cheerleaders
anetv_YfcxIgsqs5M,716,The group then begins performing a cheering routine with one another. The group,continues performing with one another and jumping are shown again in slow motion.,continue to cheer with one another and eventually come to a stop on the end.,continues to play with one another while still speaking to the camera.,continues flipping and ends with text across the screen.,,gen-orig,pos,pos,pos,pos,n/a,The group then begins performing a cheering routine with one another.,The group
anetv_YfcxIgsqs5M,716,The group then begins performing a cheering routine with one another. The group,continues to jump and flip around each other and ends by holding a pose and cheering to the camera.,continues to play with one another while still speaking to the camera.,continues flipping and ends with text across the screen.,continues completing the routine while smiling to them.,continues with their routine and ends with people performing and cheer with one another.,gold0-reannot,pos,unl,pos,pos,pos,The group then begins performing a cheering routine with one another.,The group
lsmdc0019_Pulp_Fiction-56884,8139,Someone walks out of the alley and is ready for anything. He,crosses the street and enters his apartment courtyard.,runs down the slopes with his body wedged below with his arms.,dumps his vodka bottle on the coffee table.,screws up himself as he tries to push against the door.,,gold0-orig,pos,unl,unl,pos,n/a,Someone walks out of the alley and is ready for anything.,He
lsmdc0019_Pulp_Fiction-56884,8145,"Someone slowly inserts the key into the door, quietly opening it. His apartment",is empty except for the secret theatre.,"has a webpage, which pulls up and goes into the office's open wallet.",is open with the spotlight.,is covered on its fanning devices.,,gen-orig,pos,unl,unl,unl,n/a,"Someone slowly inserts the key into the door, quietly opening it.",His apartment
lsmdc0019_Pulp_Fiction-56884,8136,"None of the parked cars appear out of place. Basically, it",looks like normal morning activity in front of someone's home.,looks like that as people try to get a convoy into the hot tire of a fancy car.,is ghetto to be very dangerous.,"finishes off home, a boy in the background starts another car.",is a town of dense.,gold0-orig,pos,unl,unl,unl,unl,None of the parked cars appear out of place.,"Basically, it"
